Time (UTCG),Lat (deg),Alt (km)
16 Dec 2025 12:10:03.000,-11.661,1217.010832
16 Dec 2025 12:11:03.000,-8.368,1216.32684
16 Dec 2025 12:12:03.000,-5.074,1215.729441
16 Dec 2025 12:13:03.000,-1.779,1215.223082
16 Dec 2025 12:14:03.000,1.517,1214.810725
16 Dec 2025 12:15:03.000,4.812,1214.49382
16 Dec 2025 12:16:03.000,8.108,1214.272292
16 Dec 2025 12:17:03.000,11.403,1214.144556
16 Dec 2025 12:18:03.000,14.698,1214.10755
16 Dec 2025 12:19:03.000,17.993,1214.156788
16 Dec 2025 12:20:03.000,21.286,1214.286435
16 Dec 2025 12:21:03.000,24.578,1214.489403
16 Dec 2025 12:22:03.000,27.869,1214.757464
16 Dec 2025 12:23:03.000,31.158,1215.081401
16 Dec 2025 12:24:03.000,34.446,1215.451166
16 Dec 2025 12:25:03.000,37.732,1215.856051
16 Dec 2025 12:26:03.000,41.016,1216.284834
16 Dec 2025 12:27:03.000,44.298,1216.725926
16 Dec 2025 12:28:03.000,47.578,1217.167524
16 Dec 2025 12:29:03.000,50.856,1217.597769
16 Dec 2025 12:30:03.000,54.131,1218.004942
16 Dec 2025 12:31:03.000,57.404,1218.377644
16 Dec 2025 12:32:03.000,60.674,1218.704976
16 Dec 2025 12:33:03.000,63.94,1218.976692
16 Dec 2025 12:34:03.000,67.203,1219.183348
16 Dec 2025 12:35:03.000,70.461,1219.316444
16 Dec 2025 12:36:03.000,73.711,1219.368548
16 Dec 2025 12:37:03.000,76.95,1219.333423
16 Dec 2025 12:38:03.000,80.165,1219.206112
16 Dec 2025 12:39:03.000,83.325,1218.983018
16 Dec 2025 12:40:03.000,86.287,1218.661974
16 Dec 2025 12:41:03.000,87.897,1218.242285
16 Dec 2025 12:42:03.000,85.941,1217.724773
16 Dec 2025 12:43:03.000,82.933,1217.111776
16 Dec 2025 12:44:03.000,79.76,1216.407139
16 Dec 2025 12:45:03.000,76.538,1215.616171
16 Dec 2025 12:46:03.000,73.294,1214.745593
16 Dec 2025 12:47:03.000,70.038,1213.803458
16 Dec 2025 12:48:03.000,66.774,1212.79906
16 Dec 2025 12:49:03.000,63.505,1211.742811
16 Dec 2025 12:50:03.000,60.232,1210.646113
16 Dec 2025 12:51:03.000,56.954,1209.521215
16 Dec 2025 12:52:03.000,53.673,1208.381065
16 Dec 2025 12:53:03.000,50.389,1207.239159
16 Dec 2025 12:54:03.000,47.102,1206.109379
16 Dec 2025 12:55:03.000,43.812,1205.005828
16 Dec 2025 12:56:03.000,40.519,1203.942651
16 Dec 2025 12:57:03.000,37.224,1202.93385
16 Dec 2025 12:58:03.000,33.926,1201.993091
16 Dec 2025 12:59:03.000,30.626,1201.133507
16 Dec 2025 13:00:03.000,27.324,1200.367516
16 Dec 2025 13:01:03.000,24.02,1199.706642
16 Dec 2025 13:02:03.000,20.715,1199.161362
16 Dec 2025 13:03:03.000,17.408,1198.740953
16 Dec 2025 13:04:03.000,14.1,1198.45337
16 Dec 2025 13:05:03.000,10.791,1198.305117
16 Dec 2025 13:06:03.000,7.482,1198.301159
16 Dec 2025 13:07:03.000,4.172,1198.44483
16 Dec 2025 13:08:03.000,0.862,1198.737781
16 Dec 2025 13:09:03.000,-2.447,1199.17994
16 Dec 2025 13:10:03.000,-5.756,1199.7695
16 Dec 2025 13:11:03.000,-9.064,1200.502934
16 Dec 2025 13:12:03.000,-12.371,1201.375028
16 Dec 2025 13:13:03.000,-15.677,1202.378948
16 Dec 2025 13:14:03.000,-18.98,1203.506319
16 Dec 2025 13:15:03.000,-22.282,1204.747326
16 Dec 2025 13:16:03.000,-25.582,1206.09084
16 Dec 2025 13:17:03.000,-28.879,1207.524549
16 Dec 2025 13:18:03.000,-32.174,1209.035107
16 Dec 2025 13:19:03.000,-35.466,1210.608292
16 Dec 2025 13:20:03.000,-38.755,1212.22918
16 Dec 2025 13:21:03.000,-42.042,1213.882321
16 Dec 2025 13:22:03.000,-45.325,1215.551932
16 Dec 2025 13:23:03.000,-48.604,1217.222086
16 Dec 2025 13:24:03.000,-51.881,1218.876908
16 Dec 2025 13:25:03.000,-55.154,1220.500763
16 Dec 2025 13:26:03.000,-58.423,1222.078445
16 Dec 2025 13:27:03.000,-61.688,1223.595352
16 Dec 2025 13:28:03.000,-64.949,1225.037648
16 Dec 2025 13:29:03.000,-68.205,1226.392415
16 Dec 2025 13:30:03.000,-71.454,1227.64779
16 Dec 2025 13:31:03.000,-74.694,1228.7931
16 Dec 2025 13:32:03.000,-77.919,1229.818975
16 Dec 2025 13:33:03.000,-81.114,1230.717459
16 Dec 2025 13:34:03.000,-84.232,1231.482081
16 Dec 2025 13:35:03.000,-87.024,1232.107913
16 Dec 2025 13:36:03.000,-87.614,1232.591606
16 Dec 2025 13:37:03.000,-85.123,1232.93141
16 Dec 2025 13:38:03.000,-82.055,1233.127191
16 Dec 2025 13:39:03.000,-78.878,1233.180417
16 Dec 2025 13:40:03.000,-75.663,1233.094143
16 Dec 2025 13:41:03.000,-72.43,1232.872958
16 Dec 2025 13:42:03.000,-69.188,1232.522928
16 Dec 2025 13:43:03.000,-65.94,1232.051499
16 Dec 2025 13:44:03.000,-62.686,1231.467397
16 Dec 2025 13:45:03.000,-59.429,1230.780497
16 Dec 2025 13:46:03.000,-56.168,1230.001693
16 Dec 2025 13:47:03.000,-52.904,1229.142758
16 Dec 2025 13:48:03.000,-49.638,1228.216186
16 Dec 2025 13:49:03.000,-46.368,1227.235044
16 Dec 2025 13:50:03.000,-43.096,1226.21279
16 Dec 2025 13:51:03.000,-39.821,1225.163105
16 Dec 2025 13:52:03.000,-36.544,1224.099703
16 Dec 2025 13:53:03.000,-33.264,1223.036156
16 Dec 2025 13:54:03.000,-29.982,1221.985717
16 Dec 2025 13:55:03.000,-26.698,1220.961149
16 Dec 2025 13:56:03.000,-23.412,1219.974556
16 Dec 2025 13:57:03.000,-20.124,1219.037226
16 Dec 2025 13:58:03.000,-16.834,1218.15949
16 Dec 2025 13:59:03.000,-13.543,1217.350585
16 Dec 2025 14:00:03.000,-10.25,1216.618538
16 Dec 2025 14:01:03.000,-6.956,1215.97006
16 Dec 2025 14:02:03.000,-3.661,1215.410462
16 Dec 2025 14:03:03.000,-0.366,1214.943588
16 Dec 2025 14:04:03.000,2.929,1214.571766
16 Dec 2025 14:05:03.000,6.225,1214.295792
16 Dec 2025 14:06:03.000,9.521,1214.114923
16 Dec 2025 14:07:03.000,12.816,1214.026911
16 Dec 2025 14:08:03.000,16.111,1214.028048
16 Dec 2025 14:09:03.000,19.405,1214.113239
16 Dec 2025 14:10:03.000,22.698,1214.276088
16 Dec 2025 14:11:03.000,25.99,1214.509005
16 Dec 2025 14:12:03.000,29.28,1214.803329
16 Dec 2025 14:13:03.000,32.569,1215.149467
16 Dec 2025 14:14:03.000,35.856,1215.537056
16 Dec 2025 14:15:03.000,39.141,1215.955122
16 Dec 2025 14:16:03.000,42.425,1216.392244
16 Dec 2025 14:17:03.000,45.706,1216.836703
16 Dec 2025 14:18:03.000,48.985,1217.276644
16 Dec 2025 14:19:03.000,52.262,1217.700245
16 Dec 2025 14:20:03.000,55.536,1218.095896
16 Dec 2025 14:21:03.000,58.807,1218.452385
16 Dec 2025 14:22:03.000,62.076,1218.759068
16 Dec 2025 14:23:03.000,65.341,1219.006036
16 Dec 2025 14:24:03.000,68.602,1219.184249
16 Dec 2025 14:25:03.000,71.857,1219.285672
16 Dec 2025 14:26:03.000,75.103,1219.303384
16 Dec 2025 14:27:03.000,78.334,1219.231688
16 Dec 2025 14:28:03.000,81.532,1219.0662
16 Dec 2025 14:29:03.000,84.641,1218.803928
16 Dec 2025 14:30:03.000,87.328,1218.44333
16 Dec 2025 14:31:03.000,87.36,1217.984361
16 Dec 2025 14:32:03.000,84.688,1217.428492
16 Dec 2025 14:33:03.000,81.58,1216.778707
16 Dec 2025 14:34:03.000,78.38,1216.039475
16 Dec 2025 14:35:03.000,75.147,1215.216691
16 Dec 2025 14:36:03.000,71.897,1214.317614
16 Dec 2025 14:37:03.000,68.638,1213.350772
16 Dec 2025 14:38:03.000,65.372,1212.325877
16 Dec 2025 14:39:03.000,62.1,1211.253717
16 Dec 2025 14:40:03.000,58.825,1210.146041
16 Dec 2025 14:41:03.000,55.546,1209.015429
16 Dec 2025 14:42:03.000,52.263,1207.875133
16 Dec 2025 14:43:03.000,48.978,1206.738907
16 Dec 2025 14:44:03.000,45.689,1205.620826
16 Dec 2025 14:45:03.000,42.398,1204.535097
16 Dec 2025 14:46:03.000,39.104,1203.495868
16 Dec 2025 14:47:03.000,35.808,1202.517037
16 Dec 2025 14:48:03.000,32.509,1201.612063
16 Dec 2025 14:49:03.000,29.208,1200.793782
16 Dec 2025 14:50:03.000,25.906,1200.074235
16 Dec 2025 14:51:03.000,22.601,1199.464503
16 Dec 2025 14:52:03.000,19.295,1198.974553
16 Dec 2025 14:53:03.000,15.988,1198.613091
16 Dec 2025 14:54:03.000,12.679,1198.387434
16 Dec 2025 14:55:03.000,9.37,1198.303395
16 Dec 2025 14:56:03.000,6.061,1198.365199
16 Dec 2025 14:57:03.000,2.751,1198.575415
16 Dec 2025 14:58:03.000,-0.559,1198.934919
16 Dec 2025 14:59:03.000,-3.868,1199.442867
16 Dec 2025 15:00:03.000,-7.177,1200.096702
16 Dec 2025 15:01:03.000,-10.484,1200.892175
16 Dec 2025 15:02:03.000,-13.79,1201.823385
16 Dec 2025 15:03:03.000,-17.095,1202.882847
16 Dec 2025 15:04:03.000,-20.398,1204.06157
16 Dec 2025 15:05:03.000,-23.699,1205.349168
16 Dec 2025 15:06:03.000,-26.998,1206.733979
16 Dec 2025 15:07:03.000,-30.294,1208.203214
16 Dec 2025 15:08:03.000,-33.588,1209.743114
16 Dec 2025 15:09:03.000,-36.878,1211.339117
16 Dec 2025 15:10:03.000,-40.166,1212.976043
